nome,email,palavra_passe_hash,data_criacao,admin
Vitória da Lopes,vitoria.lopes@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-06-18 18:45:26,0
Isabela Baptista,isabela.baptista@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-12-26 01:01:50,0
Júlia Amaral-Monteiro,julia.amaralmonteiro@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-11-29 00:45:20,0
Iara-Jéssica Magalhães,iarajessica.magalhaes@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2026-02-09 18:46:19,0
Andreia Vieira,andreia.vieira@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-05-12 09:39:59,0
Wilson Baptista,wilson.baptista@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-05-05 00:50:12,0
Nicole do Fernandes,nicole.fernandes@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-12-21 01:15:43,0
Lucas Henriques,lucas.henriques@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-08-20 22:51:07,0
Carlos Pereira,carlos.pereira@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-06-04 02:32:03,0
Erika Pinho,erika.pinho@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-05-05 00:29:39,0
Soraia-Bianca Lopes,soraiabianca.lopes@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2026-01-20 23:53:04,0
Gabriela Henriques,gabriela.henriques@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-10-19 16:54:56,1
Violeta Vaz,violeta.vaz@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-08-01 09:50:35,0
Renata-Constança Neves,renataconstanca.neves@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2026-02-20 14:49:34,0
Andreia Figueiredo,andreia.figueiredo@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-12-06 07:00:07,0
Matias da Mota,matias.mota@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-12-29 21:14:50,0
Nair Costa,nair.costa@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2026-02-03 07:15:56,0
Anita Magalhães,anita.magalhaes@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2026-04-14 19:49:56,0
Renato Matias,renato.matias@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-07-16 10:31:28,0
José Carneiro,jose.carneiro@example.pt,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,2025-04-27 20:42:06,0
