nome,email,palavra_passe_hash,data_criacao,admin
Vitória da Lopes,vitoria.lopes@example.pt,demo:595f92b2ae1c9ba0818e7a2398d1909d2580ec8573af852166c9cfbbdeda22dd,2025-06-18 18:45:26,0
Isabela Baptista,isabela.baptista@example.pt,demo:8b010f43d76b73edb5eccd531ea15ce3ff27c01d979e7f6e81b3c4952e2318d1,2025-12-26 01:01:50,0
Júlia Amaral-Monteiro,julia.amaralmonteiro@example.pt,demo:2b31eaabd0e43c7867b3c858b3613fa3c163374b9f2bb06b91689d5cb767827e,2025-11-29 00:45:20,0
Iara-Jéssica Magalhães,iarajessica.magalhaes@example.pt,demo:fe060e78f525035f04c4745697270dbc2e46c763bd4bb6b0c9e35c567bb522dc,2026-02-09 18:46:19,0
Andreia Vieira,andreia.vieira@example.pt,demo:12f0ecae59f8acba1f48bb0bbf239a1926014f0ffbc2a42dcd068dcbe29b1afd,2025-05-12 09:39:59,0
Wilson Baptista,wilson.baptista@example.pt,demo:5d609b7989736a270eb61797a150bb9c90e3705a10f13861689131713342525c,2025-05-05 00:50:12,0
Nicole do Fernandes,nicole.fernandes@example.pt,demo:4d4c112939adbf6bc4670c10d0ea4e95d7afcc589729bd3913c8611f823d7a96,2025-12-21 01:15:43,0
Lucas Henriques,lucas.henriques@example.pt,demo:480115b89c2a3e0c432028acf6f31de7b51c4f21c8db105532f8634629745159,2025-08-20 22:51:07,0
Carlos Pereira,carlos.pereira@example.pt,demo:82cd78dbcded8fe4bb70cd2602b87b2fcd414b36d52fd6d47b562b0cff500790,2025-06-04 02:32:03,0
Erika Pinho,erika.pinho@example.pt,demo:24964f9c47d9b81a5411a3384108a0ac55c1c754d4e2427fe8154f280b2747de,2025-05-05 00:29:39,0
Soraia-Bianca Lopes,soraiabianca.lopes@example.pt,demo:f757238255ed6a8d0e4377480e144eba1da185e772aa9aee19257da691ffcc12,2026-01-20 23:53:04,0
Gabriela Henriques,gabriela.henriques@example.pt,demo:c29c3936cf4919a3951881410a7c2945d0871b7d2100751155c01000271919c1,2025-10-19 16:54:56,1
Violeta Vaz,violeta.vaz@example.pt,demo:94eb8a5090ef25aa3ad1ac7f854dba83572afe90f47a12018cf9fa587ed158a1,2025-08-01 09:50:35,0
Renata-Constança Neves,renataconstanca.neves@example.pt,demo:bc4be78e9f488e9d4537ae2888744c876983840ad3f44857b237107ea968489e,2026-02-20 14:49:34,0
Andreia Figueiredo,andreia.figueiredo@example.pt,demo:e7a6c5a9103d01182ae799f3437f67735697da6bb67ddd0f34d4fafd7ae7c2fe,2025-12-06 07:00:07,0
Matias da Mota,matias.mota@example.pt,demo:82973b34803e1be802b1e30d112f43955957e68117bbe19f2e336e5d0b2dba4d,2025-12-29 21:14:50,0
Nair Costa,nair.costa@example.pt,demo:5ee5941b0181299b6d732d69a43d7b194bb2572023ea020a57239721c4d51f2b,2026-02-03 07:15:56,0
Anita Magalhães,anita.magalhaes@example.pt,demo:6f3f6d28ad907cc9ba012812603b025e5d367a0d2ee734ea81d5bab0cd44a633,2026-04-14 19:49:56,0
Renato Matias,renato.matias@example.pt,demo:c5e4af002664aad6b4112debf68b1fa104edfe06db25265595fe10f9b6c7c8fc,2025-07-16 10:31:28,0
José Carneiro,jose.carneiro@example.pt,demo:934c656d1f547b11d2206d445d0f49b2381e847ea94ee0610841fced862e2ca2,2025-04-27 20:42:06,0
